Active Row,Habit,Habit_singular,Habit_addl_kws,Familia,Familia_Common_Name,Genus,Genus_Common_Name,Genus_Common_Name_decomposed,Genus_Common_Name_singular,Genus_Common_Name_singular_decomposed,Genus_addl_kws,Binomen,Common_Name,Binomen_Weighted_kws,Common_Name_decomposed,Common_Name_addl_kws,Species_Common_Names_WP,Species_Common_Names_WP_decomposed,Lifecycle Description,Poll. Season,Start Pollination,Peak Poll. Start,Peak Poll. End,End Pollination,Significant_Stands_Around_Austin?,Sectors_Around_Austin,Affected by Time of Day Notes,Affected by Humidity Notes,Affected by Rain Notes
Y,All weeds,weed,,Amaranthaceae,The amaranth family (including pigweeds and goosefoots),Amaranthus,All amaranths,,amaranth,,,Amaranthus tuberculatus,Rough Fruit Amaranth,,rough-fruit X,rough-fruited,"roughfruit amaranth, rough-fruited water-hemp, tall waterhemp, common waterhemp",rough-fruit X,,"Su, F",,,,,,,,,
Y,All weeds,weed,,Amaranthaceae,The amaranth family (including pigweeds and goosefoots),Amaranthus,All amaranths,,amaranth,,,Sarcobatus vermiculatus,saltbush,saltbush,salt-bush,,"greasewood, seepwood","grease-wood, seep-wood",,,,,,,,,,,
Y,All weeds,weed,,Amaranthaceae,The amaranth family (including pigweeds and goosefoots),Chenopodium,All goosefoots,,goosefoot,,,Chenopodium album,White Goosefoot,goosefoot,goose-foot,,"lamb's-quarters, melde, manure weed, wild spinach, fat-hen",,,,,,,,,,,,
Y,All weeds,weed,,Amaranthaceae,The amaranth family (including pigweeds and goosefoots),Kali,All genus Kali tumbleweeds and salt-tolerant plants,tumble-weeds,tumbleweed,tumble-weed,,Kali tragus,Russian thistle,tumbleweed,tumble-weed,,"salsola, windwitch, common saltwort, tumbleweed","wind-witch, salt-wort, tumble-weed",,,,,,,,,,,
Y,All weeds,weed,,Amaranthaceae,The amaranth family (including pigweeds and goosefoots),Atriplex,All saltbushes,salt-bushes,saltbush,salt-bush,,Atriplex lentiformis,Saltbush,saltbush,salt-bush,,"saltbrush, quail bush, big saltbrush, big saltbush, quailbrush, lenscale, len-scale saltbush, white thistle","salt-bush, salt-brush, quail-brush, len-scale X",,,,,,,,,,,
Y,All weeds,weed,,Anacardiaceae,The sumac family,Toxicodendron,All poison ivies,,poison ivy,,,Toxicodendron radicans,Eastern Poison Ivy,,,,poison ivy,,,Su,,,,,,,,,
Y,All weeds,weed,,Asteraceae,"The aster family (including ragweeds, sagebrushes, and marsh elders)",Ambrosia,All ragweeds,rag-weeds,ragweed,rag-weed,,Ambrosia artemisiifolia,Annual Ragweed,ragweed,rag-weed,,"common ragweed, low ragweed",rag-weed,Ragweed season starts in August and can last through November. It’s highest typically from the end of September to the beginning of October,"Su, F, W",,,,,,,,,
Y,All weeds,weed,,Asteraceae,"The aster family (including ragweeds, sagebrushes, and marsh elders)",Ambrosia,All ragweeds,rag-weeds,ragweed,rag-weed,,Ambrosia confertiflora,Weak-Leaf Burr-Ragweed,,rag-weed,"bur,  weak-leaved",,,Ragweed season starts in August and can last through November. It’s highest typically from the end of September to the beginning of October,"Su, F",,,,,,,,,
Y,All weeds,weed,,Asteraceae,"The aster family (including ragweeds, sagebrushes, and marsh elders)",Ambrosia,All ragweeds,rag-weeds,ragweed,rag-weed,,Ambrosia psilostachya,Perennial Ragweed,,rag-weed,,"Cuman ragweed, western ragweed",rag-weed,Ragweed season starts in August and can last through November. It’s highest typically from the end of September to the beginning of October,"Su, F",,,,,,,,,
Y,All weeds,weed,,Asteraceae,"The aster family (including ragweeds, sagebrushes, and marsh elders)",Ambrosia,All ragweeds,rag-weeds,ragweed,rag-weed,,Ambrosia trifida,Texan Great Ragweed,,rag-weed,texas,"great ragweed, Texan great ragweed, giant ragweed, tall ragweed, blood ragweed, perennial ragweed, horseweed, buffaloweed, kinghead","rag-weed, horse-weed, buffalo-weed, king-head, texas X",Ragweed season starts in August and can last through November. It’s highest typically from the end of September to the beginning of October,"Su, F",,,,,,,,,
Y,All weeds,weed,,Asteraceae,"The aster family (including ragweeds, sagebrushes, and marsh elders)",Artemisia,All sagebrushes,sage-brushes,sagebrush,sage-brush,,Artemisia ludoviciana,White Sagebrush,,sage-brush,," silver wormwood, western mugwort, Louisiana wormwood, white sagebrush, gray sagewort","worm-wood, mug-wort, sage-brush, sage-wort",,"Su, Fa",,,,,,,,,
Y,All weeds,weed,,Asteraceae,"The aster family (including ragweeds, sagebrushes, and marsh elders)",Iva,All marsh elders,,marsh elder,,,Iva angustifolia,Narrow Leaf Marsh Elder,,narrow-leaf X,"narrow-leafed, narrow-leaved",,,,"Su, F",,,,,,,,,
Y,All weeds,weed,,Asteraceae,"The aster family (including ragweeds, sagebrushes, and marsh elders)",Iva,All marsh elders,,marsh elder,,,Iva annua,Annual Marsh Elder,,,,sumpweed,sump-weed,,"Su, F",,,,,,,,,
Y,All weeds,weeds,,Polygonaceae,The buckwheat family,Rumex,All sorrels,,sorrel,,,Rumex acetosella,Sheep's Sorrel,,,,"red sorrel, field sorrel, sour weed",,,,,,,,,,,,
N,All fungi or All molds?,,,,,Acrodictys (Hyphomycetes),,,,,,,,,,,,,,,,,,,,,,,
N,All fungi,,,,,Agrocybe,,,mushroom,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Algae,,,,,,,,,,,,,,,,,,,,,,,
N,All trees,,,,,Alnus,,,alder,,,,,,,,,,,,,,,,,,,,
N,All weeds,,,,,Amaranthaceae,,,amaranth,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Arthimium,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Ascomycetes,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Asperisporium,,,,,,,,,,,,,,,,,,,,,,,
N,All weeds,,,Asteraceae,,,All asters,,aster,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Basidiomycetes,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Beltrania,,,,,,,,,,,,,,,,,,,,,,,
N,All trees,,,,,Betula,,,birch,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Botrytis,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Cercospora,,,,,,,,,,,,,,,,,,,,,,,
N,All molds,,,,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,
N,All trees,,,,,Corylus,,,hazelnut,,,,,,,,,,,,,,,,,,,,
N,All trees,,,,,Cupressaceae,,,cedar,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Curvularia,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi,,,,,Dematiaceous conidia/hyphae,,,black fungus,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Dendryphiella,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Dichotomophthora,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Diplococcum,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Drechslera/Helmintho.,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Fusariella,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Ganoderma,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Helicomina,,,,,,,,,,,,,,,,,,,,,,,
N,All trees,,,,,Liquidamber,,,sweet gum,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Microsporum,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Misc. Fungus (Hyaline),,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Monodictys,,,,,,,,,,,,,,,,,,,,,,,
N,All trees,,,,,Morus,,,mulberry,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Myxomycete/Smut,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Nigrospora,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Penicillium/Aspergillus,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Periconia,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Pestalotiopsis,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Pithomyces,,,,,,,,,,,,,,,,,,,,,,,
N,All weeds,,,Plantaginaceae,,Plantago,All plantains,,plantain,,,Plantago major,Common Plantain,,,,fleawort,flea-wort,,,,,,,,,,,
N,All fungi or All molds?,,,,,Powdery Mildew (Oidium/Erysiphe),,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Pseudocercospora,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Puccinia,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Rust,,,,,,,,,,,,,,,,,,,,,,,
N,All weeds,,,Cyperaceae,,Carex,All sedges,,sedge,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Spegazinia,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Stemphyllium,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Tetrapola,,,,,,,,,,,,,,,,,,,,,,,
N,All trees,,,Malvaceae,,Tilia,,,,,,,Basswood,,bass-wood,linden,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Tilletia,,,,,,,,,,,,,,,,,,,,,,,
N,All fungi or All molds?,,,,,Torula,,,,,,,,,,,,,,,,,,,,,,,
N,All weeds,,,,,Typha,,,cattail,cat-tail,,,,,,,,,,,,,,,,,,,
N,All weeds,,,,,Urticaceae,,,nettle,,,,,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,alnus (alder),,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,ash,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,Ashe Juniper (Bald Cypress),,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,Black Gum,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,Black Walnut,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,bushes?,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,birch,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,cedar,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,cotton wood,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,dogwood,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,elm,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,Glandular Mesquite,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,hackberry,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,hickory/pecan,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,mulberry,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,maple,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,Osage Orange,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,Oak Sycamore,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,pine,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,privet,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,sweet gum,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,gingko biloba,,,,,,,,,,,,,,,,
N,All trees,,,,,,,,,,,,willow,,,,,,,,,,,,,,,,
N,All weeds,,,,,,,,,,,,Amaranth,,,,,,,,,,,,,,,,
N,All weeds,,,,,,,,,,,,Burweed / Marshelder,,,,,,,,,,,,,,,,
N,All weeds,,,,,,,,,,,,Cattail Dog Fennel,,,,,,,,,,,,,,,,
N,All weeds,,,,,,,,,,,,Lamb's Quarters Nettle,,,,,,,,,,,,,,,,
N,All weeds,,,,,,,,,,,,Partridge Pea,,,,,,,,,,,,,,,,
N,All weeds,,,,,,,,,,,,Pigweed Plantago (Plantain),,,,,,,,,,,,,,,,
N,All weeds,,,,,,,,,,,,Ragweed Rumex,,,,,,,,,,,,,,,,
N,All weeds,,,,,,,,,,,,Sagebrush,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,All weeds,,,,,,,,,,,,Sedge,,,,,,,,,,,,,,,,
N,All weeds,,,,,,,,,,,,Sneezeweed,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Ascospores,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Basidiospores,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Cercospora,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Curvularia,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Dreshslera/Helminthosporium,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Nigrospora,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Oidium/Erysiphe,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Penicillium/Aspergillus,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Periconia,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Pithomyces,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Rusts,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Smuts/Myxomycetes,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Spegazzinia,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Stemphilium,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Tetraploa,,,,,,,,,,,,,,,,,,,,,,,
,All fungi or All molds?,,,,,Torula,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,almond,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ash (male),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Arizona cypress,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,aspen (male),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bald cypress,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,black acacia,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,catalpa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Chinese elm,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,cottonwood,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,elm,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,eucalyptus,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,fringe tree (male),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Kentucky coffee (male),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mango,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mountain laurel,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mulberry,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,oaks,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,olive,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Osage orange (male),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pecan,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,poplar (male),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,privet (male),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,red cedar,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Russian olive,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,silver maple (male),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,smoke tree,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,sumac (male),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,sycamore,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,walnut,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,willows (male),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,zelkova,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Allergy-causing flowers and grasses:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Artemisia,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Bahia grass,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Bermuda grass,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,blue fescue,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bluegrass,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,buttercup,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,castor bean,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,centipede grass,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,fountain grass,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,gamma grass,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,goldenrod,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,orchard grass,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Timothy grass,,,,,,,,,,,,,,,,